	ID	x	y	z	radius	volume_total	volume_nuclear_fluid	volume_nuclear_solid	volume_cytoplasmic_fluid	volume_cytoplasmic_solid	volume_calcified_fraction	phenotype	elapsed_time
150	150	169.946	279.755	0	2.93678	106.097	6.05299e-10	0.269425	2.37524e-07	105.828	0.000419824	102	28302
151	1659	148.58	330.284	0	8.41271	2494	405	135	1465.5	488.5	0	14	5052
152	745	341.197	449.911	0	2.93016	105.381	5.33743e-10	0.262164	2.13803e-07	105.119	0.000419824	102	28428
153	153	186.256	360.464	0	2.93742	106.166	6.12595e-10	0.270126	2.39916e-07	105.896	0.000419824	102	28290
154	507	381.551	422.845	0	2.93046	105.413	5.36949e-10	0.262505	2.14873e-07	105.151	0.000419824	102	28422
155	155	467.563	349.838	0	2.93142	105.517	5.46688e-10	0.263532	2.18131e-07	105.254	0.000419824	102	28404
156	1056	93.1381	240.849	0	6.75623	1291.82	206.029	75.978	740.247	269.563	0	14	24
157	1817	118.143	217.654	0	8.41258	2493.88	404.992	134.999	1465.41	488.48	0	14	2064
158	2051	205.777	310.371	0	7.77763	1970.75	322.854	118.51	1118.25	411.13	0	14	252
159	1148	224.661	428.012	0	8.41271	2494	405	135	1465.5	488.5	0	14	10662
160	678	368.271	402.734	0	2.94944	107.475	7.69203e-10	0.283815	2.90228e-07	107.191	0.000419824	102	28062
161	573	233.262	421.807	0	2.9447	106.958	7.07273e-10	0.278677	2.70484e-07	106.679	0.000419824	102	28146
162	162	126.98	222.553	0	2.94532	107.025	7.11571e-10	0.279056	2.71928e-07	106.746	0.000419824	102	28140
163	163	453.517	339.86	0	2.93756	106.181	6.27236e-10	0.271457	2.44478e-07	105.91	0.000419824	102	28266
164	1775	286.744	283.118	0	8.41271	2494	405	135	1465.5	488.5	0	14	3960
165	560	303.219	108.213	0	2.77389	89.4035	4.47692e-10	0.233919	1.70493e-07	89.1696	0.000419824	102	28404
166	725	385.744	170.832	0	2.94089	106.543	6.54325e-10	0.27402	2.53509e-07	106.269	0.000419824	102	28224
167	1029	247.329	292.786	0	8.41257	2493.88	404.992	134.999	1465.41	488.48	0	14	2058
168	1320	176.484	357.452	0	8.41271	2494	405	135	1465.5	488.5	0	14	8364
169	169	115.652	314.208	0	2.93079	105.449	5.40177e-10	0.262847	2.15957e-07	105.186	0.000419824	102	28416
170	1211	156.9	360.181	0	8.41271	2494	405	135	1465.5	488.5	0	14	6930
171	171	314.528	359.192	0	2.94216	106.681	6.70194e-10	0.275449	2.5864e-07	106.405	0.000419824	102	28200
172	172	322.505	258.952	0	2.94247	106.715	6.74221e-10	0.275808	2.5994e-07	106.439	0.000419824	102	28194
173	173	308.051	374.954	0	2.95421	107.997	8.41525e-10	0.289407	3.12879e-07	107.707	0.000419824	102	27972
174	174	307.526	269.301	0	2.93205	105.585	5.53278e-10	0.264218	2.20328e-07	105.321	0.000419824	102	28392
175	1484	439.864	226.436	0	8.41271	2494	405	135	1465.5	488.5	0	14	8532
176	878	221.614	352.919	0	2.89898	102.052	6.87669e-10	0.273	2.56124e-07	101.779	0.000419824	102	28122
177	2032	443.588	324.928	0	7.94016	2096.89	347.554	124.5	1195.16	429.679	0	14	390
178	611	104.806	268.804	0	2.94071	106.523	7.59416e-10	0.283125	2.84684e-07	106.24	0.000419824	102	28062
179	179	239.743	384.334	0	2.94659	107.164	7.28828e-10	0.280511	2.77433e-07	106.883	0.000419824	102	28116
180	1514	267.34	312.42	0	8.41271	2494	405	135	1465.5	488.5	0	14	3696
181	513	328.353	469.949	0	2.94849	107.371	7.55502e-10	0.282709	2.85899e-07	107.089	0.000419824	102	28080
182	182	355.9	192.326	0	2.93741	106.165	6.12595e-10	0.270126	2.39915e-07	105.895	0.000419824	102	28290
183	1694	428.183	290.508	0	8.41271	2494	405	135	1465.5	488.5	0	14	4836
184	184	248.86	229.584	0	2.93994	106.44	6.4267e-10	0.272952	2.49727e-07	106.167	0.000419824	102	28242
185	1832	319.044	331.8	0	8.40959	2491.22	404.753	134.97	1463.46	488.046	0	14	1380
186	186	398.957	180.522	0	2.93867	106.302	6.27452e-10	0.271535	2.4477e-07	106.03	0.000419824	102	28266
187	856	350.253	467.37	0	2.94093	106.548	7.02013e-10	0.277976	2.68115e-07	106.27	0.000419824	102	28152
188	868	147.042	201.501	0	2.93008	105.373	6.95426e-10	0.277089	2.63507e-07	105.096	0.000419824	102	28146
189	2045	350.136	383.971	0	7.95045	2105.06	345.868	123.6	1204.35	431.245	0	14	318
190	1945	105.995	327.062	0	8.41151	2492.93	404.912	134.99	1464.7	488.322	0	14	1584
191	820	176.857	461.478	0	2.93479	105.881	5.83918e-10	0.267326	2.30466e-07	105.614	0.000419824	102	28338
192	640	333.039	460.517	0	2.94342	106.819	6.86448e-10	0.276886	2.63876e-07	106.542	0.000419824	102	28176
193	818	113.009	319.024	0	2.93606	106.019	5.98081e-10	0.268721	2.35134e-07	105.751	0.000419824	102	28314
194	194	396.358	189.548	0	2.94406	106.887	6.94722e-10	0.277607	2.66533e-07	106.61	0.000419824	102	28164
195	1587	197.244	381.608	0	8.41271	2494	405	135	1465.5	488.5	0	14	6696
196	843	174.495	329.519	0	2.94887	107.413	7.6909e-10	0.283779	2.90054e-07	107.129	0.000419824	102	28062
197	624	304.965	274.006	0	2.87964	100.023	5.19415e-10	0.256118	2.02132e-07	99.7672	0.000419824	102	28398
198	1551	389.504	365.332	0	8.41271	2494	405	135	1465.5	488.5	0	14	3270
199	1818	240.858	250.007	0	8.41271	2494	405	135	1465.5	488.5	0	14	3324
200	200	194.825	202.12	0	2.95198	107.753	8.06965e-10	0.286784	3.02097e-07	107.466	0.000419824	102	28014
201	961	201.584	469.018	0	8.41271	2494	405	135	1465.5	488.5	0	14	5076
202	605	325.767	465.044	0	2.95008	107.545	7.78474e-10	0.284554	2.93151e-07	107.26	0.000419824	102	28050
203	1936	255.264	447.595	0	8.41204	2493.4	404.953	134.995	1465.05	488.4	0	14	1710
204	1037	221.95	173.824	0	8.41271	2494	405	135	1465.5	488.5	0	14	15810
205	205	462.798	340.434	0	2.93931	106.372	6.35016e-10	0.272243	2.47237e-07	106.099	0.000419824	102	28254
206	1656	489.112	256.521	0	8.41271	2494	405	135	1465.5	488.5	0	14	5580
207	2034	411.191	268.399	0	8.13812	2257.67	371.061	128.769	1304.33	453.517	0	14	426
208	1606	151.105	345.723	0	8.41154	2492.96	404.915	134.991	1464.73	488.327	0	14	1590
209	209	463.63	335.184	0	2.93111	105.483	5.43423e-10	0.263189	2.17041e-07	105.22	0.000419824	102	28410
210	210	453.723	240.476	0	2.93521	105.926	5.87437e-10	0.267678	2.31648e-07	105.659	0.000419824	102	28332
211	1900	325.12	437.655	0	8.41263	2493.92	404.995	135	1465.44	488.487	0	14	2160
212	212	131.469	205.988	0	2.94691	107.198	7.33207e-10	0.280877	2.78826e-07	106.917	0.000419824	102	28110
213	672	444.308	235.539	0	2.94469	106.956	7.03096e-10	0.278331	2.69217e-07	106.678	0.000419824	102	28152
214	214	464.736	227.861	0	2.95516	108.101	8.56785e-10	0.290539	3.17617e-07	107.811	0.000419824	102	27954
215	215	87.9457	354.813	0	2.94311	106.784	6.82348e-10	0.276526	2.62557e-07	106.508	0.000419824	102	28182
216	867	241.048	301.469	0	2.89712	101.856	5.60424e-10	0.261627	2.1741e-07	101.595	0.000419824	102	28344
217	217	467.842	338.799	0	2.95039	107.579	7.83152e-10	0.284925	2.94624e-07	107.294	0.000419824	102	28044
218	1993	428.56	305.098	0	8.36707	2453.63	400.475	134.302	1436.67	482.18	0	14	888
219	219	93.1751	354.081	0	2.93584	105.995	5.94518e-10	0.268375	2.33981e-07	105.726	0.000419824	102	28320
220	869	236.223	149.734	0	2.8802	100.082	5.10865e-10	0.2554	1.99483e-07	99.8266	0.000419824	102	28416
