	ID	x	y	z	radius	volume_total	volume_nuclear_fluid	volume_nuclear_solid	volume_cytoplasmic_fluid	volume_cytoplasmic_solid	volume_calcified_fraction	phenotype	elapsed_time
50	1217	224.03	588.107	0	1.76176	22.905	2.16834e-22	0.000535606	9.26349e-18	22.9044	0.000419824	102	56994
51	1274	343.679	-0.000854923	0	9.61881	3727.8	661.758	129.833	2452.38	483.832	0.000419824	101	186
52	52	230.107	283.152	0	1.75557	22.6643	1.77923e-22	0.0005131	7.85121e-18	22.6638	0.000419824	102	57192
53	53	387.889	308.226	0	1.75969	22.8245	2.03e-22	0.000527997	8.76655e-18	22.8239	0.000419824	102	57060
54	54	391.481	303.89	0	1.76063	22.861	2.09175e-22	0.000531442	8.98904e-18	22.8605	0.000419824	102	57030
55	55	214.556	297.552	0	1.75576	22.6716	1.78993e-22	0.000513768	7.89067e-18	22.671	0.000419824	102	57186
56	56	215.057	288.865	0	1.76176	22.905	2.16834e-22	0.000535606	9.26349e-18	22.9044	0.000419824	102	56994
57	985	143.239	491.694	0	1.75519	22.6498	1.75803e-22	0.000511767	7.7729e-18	22.6493	0.000419824	102	57204
58	58	393.98	305.964	0	1.75613	22.6861	1.81151e-22	0.000515107	7.97017e-18	22.6856	0.000419824	102	57174
59	59	211.369	297.095	0	1.75557	22.6643	1.77923e-22	0.0005131	7.85121e-18	22.6638	0.000419824	102	57192
60	60	210.024	294.001	0	1.76327	22.9637	2.27484e-22	0.000541209	9.64251e-18	22.9631	0.000419824	102	56946
61	61	398.454	313.3	0	1.75763	22.7442	1.90048e-22	0.000520495	8.29627e-18	22.7437	0.000419824	102	57126
62	1269	324.558	600.031	0	6.67717	1247	202.5	67.5	732.75	244.25	0	14	0
63	63	205.046	296.831	0	1.75669	22.7079	1.84438e-22	0.000517121	8.09092e-18	22.7073	0.000419824	102	57156
64	64	208.219	296.686	0	1.75801	22.7588	1.9234e-22	0.000521851	8.37986e-18	22.7583	0.000419824	102	57114
65	65	400.105	318.514	0	1.76026	22.8464	2.06683e-22	0.000530061	8.89937e-18	22.8458	0.000419824	102	57042
66	66	395.948	311.234	0	1.76026	22.8464	2.06683e-22	0.000530061	8.89937e-18	22.8458	0.000419824	102	57042
67	1160	336.72	7.99904	0	1.76101	22.8756	2.11697e-22	0.000532827	9.07961e-18	22.8751	0.000419824	102	57018
68	68	203.027	294.319	0	1.75801	22.7588	1.9234e-22	0.000521851	8.37986e-18	22.7583	0.000419824	102	57114
69	69	400.958	315.374	0	1.76364	22.9784	2.30227e-22	0.000542619	9.73966e-18	22.9778	0.000419824	102	56934
70	2147	209.273	86.05	0	8.40788	2489.7	404.616	134.953	1462.34	487.798	0	14	1362
71	71	171.996	302.76	0	1.75445	22.6208	1.71639e-22	0.000509111	7.6186e-18	22.6203	0.000419824	102	57228
72	72	200.677	291.985	0	1.76176	22.905	2.16834e-22	0.000535606	9.26349e-18	22.9044	0.000419824	102	56994
73	73	431.137	317.68	0	1.76552	23.0521	2.44447e-22	0.000549724	1.02403e-17	23.0515	0.000419824	102	56874
74	74	478.241	270.974	0	1.7627	22.9416	2.2343e-22	0.000539101	9.49859e-18	22.9411	0.000419824	102	56964
75	75	166.131	308.913	0	1.76232	22.927	2.20768e-22	0.000537701	9.40384e-18	22.9264	0.000419824	102	56976
76	76	168.883	281.057	0	1.76082	22.8683	2.10432e-22	0.000532134	9.03421e-18	22.8678	0.000419824	102	57024
77	1043	448.863	497.112	0	1.76383	22.9857	2.31611e-22	0.000543325	9.7886e-18	22.9852	0.000419824	102	56928
78	1058	93.6375	114.453	0	1.75782	22.7515	1.91191e-22	0.000521173	8.33796e-18	22.751	0.000419824	102	57120
79	920	176.336	67.0933	0	1.76458	23.0152	2.3723e-22	0.00054616	9.98685e-18	23.0146	0.000419824	102	56904
80	1079	189.27	510.553	0	1.75838	22.7734	1.94659e-22	0.000523211	8.46429e-18	22.7728	0.000419824	102	57102
81	81	491.865	277.021	0	1.76383	22.9857	2.31611e-22	0.000543325	9.7886e-18	22.9852	0.000419824	102	56928
82	2145	98.7514	135.7	0	8.41108	2492.55	404.877	134.986	1464.42	488.26	0	14	1518
83	83	114.397	315.897	0	1.76232	22.927	2.20768e-22	0.000537701	9.40384e-18	22.9264	0.000419824	102	56976
84	84	137.89	287.205	0	1.75913	22.8025	1.99382e-22	0.00052594	8.63571e-18	22.802	0.000419824	102	57078
85	2012	177.157	527.57	0	8.41112	2492.59	404.881	134.987	1464.45	488.266	0	14	1524
86	86	489.187	275.164	0	1.76458	23.0152	2.3723e-22	0.00054616	9.98685e-18	23.0146	0.000419824	102	56904
87	2042	181.024	410.52	0	8.41271	2494	405	135	1465.5	488.5	0	14	17376
