	ID	x	y	z	radius	volume_total	volume_nuclear_fluid	volume_nuclear_solid	volume_cytoplasmic_fluid	volume_cytoplasmic_solid	volume_calcified_fraction	phenotype	elapsed_time
349	349	158.564	391.936	0	2.7872	90.6973	3.27183e-11	0.14299	2.06998e-08	90.5543	0.000419824	102	31224
350	350	182.53	187.054	0	2.79139	91.1066	3.55812e-11	0.145618	2.22042e-08	90.961	0.000419824	102	31140
351	351	417.852	393.866	0	2.78571	90.5516	3.17526e-11	0.142063	2.01877e-08	90.4095	0.000419824	102	31254
352	714	337.293	397.039	0	3.08732	123.263	9.75141e-09	0.49269	2.42752e-06	122.771	0.000419824	102	25518
353	769	180.515	314.208	0	3.096	124.306	1.13946e-08	0.509639	2.76514e-06	123.797	0.000419824	102	25362
354	756	166.383	387.132	0	3.09868	124.629	1.19538e-08	0.51497	2.87818e-06	124.114	0.000419824	102	25314
355	355	424.607	385.227	0	2.79079	91.048	3.51574e-11	0.14524	2.19828e-08	90.9028	0.000419824	102	31152
356	356	409.795	201.961	0	3.42588	168.424	2.98347e-06	1.7087	0.000290807	166.715	0.000419824	102	19782
357	1164	301.027	266.946	0	3.82613	234.622	0.00110036	6.18291	0.0406076	228.397	0.000419824	102	13848
358	358	166.963	228.57	0	2.7881	90.7848	3.33117e-11	0.143549	2.10134e-08	90.6413	0.000419824	102	31206
359	359	291.035	408.852	0	2.78302	90.2899	3.00857e-11	0.14041	1.92974e-08	90.1495	0.000419824	102	31308
360	881	366.718	210.367	0	3.08706	123.232	9.7509e-09	0.492668	2.42688e-06	122.74	0.000419824	102	25518
361	1199	132.783	379.423	0	6.3789	1087.24	88.5585	73.92	503.543	421.22	0.000419824	102	2406
362	604	381.071	421.534	0	2.78481	90.4643	3.11869e-11	0.14151	1.98864e-08	90.3228	0.000419824	102	31272
363	363	285.334	404.212	0	2.79019	90.9895	3.47386e-11	0.144862	2.17635e-08	90.8446	0.000419824	102	31164
364	364	324.275	221.664	0	2.79378	91.3413	3.73283e-11	0.147142	2.31124e-08	91.1942	0.000419824	102	31092
365	365	313.514	387.31	0	2.78861	90.8351	3.59585e-11	0.145824	2.2341e-08	90.6893	0.000419824	102	31128
366	651	394.852	420.78	0	3.09801	124.548	1.18115e-08	0.513632	2.8495e-06	124.035	0.000419824	102	25326
367	367	281.169	407.193	0	2.7373	85.9127	2.83574e-11	0.136536	1.77976e-08	85.7762	0.000419824	102	31314
368	368	264.149	222.557	0	2.78362	90.348	3.04484e-11	0.140775	1.94918e-08	90.2072	0.000419824	102	31296
369	1110	221.321	315.691	0	3.83051	235.429	0.00113438	6.22625	0.0417102	229.16	0.000419824	102	13818
370	370	324.733	212.241	0	2.79378	91.3413	3.73283e-11	0.147142	2.31124e-08	91.1942	0.000419824	102	31092
371	1093	299.379	138.997	0	3.8252	234.451	0.00105598	6.12981	0.0392874	228.281	0.000419824	102	13890
372	372	259.154	224.491	0	3.01497	114.799	9.11168e-09	0.47254	2.20231e-06	114.326	0.000419824	102	25512
373	373	383.066	405.664	0	3.09313	123.96	1.09253e-08	0.504964	2.66844e-06	123.455	0.000419824	102	25404
374	966	150.921	320.2	0	3.43797	170.213	3.61305e-06	1.78133	0.000341292	168.431	0.000419824	102	19590
375	744	295.569	382.573	0	3.08792	123.336	9.86883e-09	0.49397	2.4518e-06	122.842	0.000419824	102	25506
376	376	236.285	195.857	0	3.08543	123.037	9.46329e-09	0.489477	2.36694e-06	122.547	0.000419824	102	25548
377	735	285.973	409.143	0	2.75508	87.5977	3.15097e-11	0.140323	1.96194e-08	87.4573	0.000419824	102	31230
378	378	379.821	189.887	0	2.78362	90.348	3.04484e-11	0.140775	1.94918e-08	90.2072	0.000419824	102	31296
379	866	405.644	214.084	0	3.08699	123.223	9.69318e-09	0.49205	2.41539e-06	122.731	0.000419824	102	25524
380	555	269.085	438.825	0	2.78571	90.5516	3.17526e-11	0.142063	2.01877e-08	90.4095	0.000419824	102	31254
381	733	372.781	297.331	0	2.76146	88.2073	3.16864e-11	0.140951	1.97783e-08	88.0664	0.000419824	102	31230
382	382	385.01	189.029	0	2.79079	91.048	3.51574e-11	0.14524	2.19828e-08	90.9028	0.000419824	102	31152
383	834	373.845	173.085	0	3.08416	122.886	1.11018e-08	0.506578	2.67935e-06	122.379	0.000419824	102	25374
384	875	126.721	385.667	0	3.08698	123.223	9.69318e-09	0.49205	2.41538e-06	122.731	0.000419824	102	25524
385	385	396.491	409.131	0	2.78631	90.6098	3.21354e-11	0.142433	2.0391e-08	90.4674	0.000419824	102	31242
386	386	388.047	193.195	0	2.79019	90.9895	3.47386e-11	0.144862	2.17635e-08	90.8446	0.000419824	102	31164
387	387	166.472	421.394	0	2.75271	87.3717	2.9523e-11	0.138416	1.85879e-08	87.2333	0.000419824	102	31296
388	1162	126.549	419.346	0	3.81868	233.254	0.000994227	6.04778	0.0373088	227.168	0.000419824	102	13950
389	389	425.18	404.097	0	2.7887	90.8432	3.37133e-11	0.143923	2.1225e-08	90.6993	0.000419824	102	31194
390	390	393.134	192.936	0	2.79019	90.9892	3.51515e-11	0.145219	2.1968e-08	90.844	0.000419824	102	31152
391	391	162.372	397.058	0	3.09133	123.744	1.04781e-08	0.500442	2.57789e-06	123.243	0.000419824	102	25446
392	392	187.685	187.718	0	2.7878	90.7557	3.31127e-11	0.143363	2.09083e-08	90.6123	0.000419824	102	31212
393	1159	241.004	229.789	0	4.31061	335.51	0.305065	21.1485	4.46144	309.595	0.000419824	102	8178
394	750	292.693	260.6	0	3.095	124.185	1.11916e-08	0.507654	2.7239e-06	123.678	0.000419824	102	25380
395	1058	401.562	406.53	0	3.42812	168.755	3.09252e-06	1.72209	0.000299662	167.032	0.000419824	102	19746
396	624	292.256	439.034	0	2.79199	91.1652	3.60102e-11	0.145998	2.24278e-08	91.0192	0.000419824	102	31128
397	397	428.251	388.8	0	2.78362	90.348	3.04484e-11	0.140775	1.94918e-08	90.2072	0.000419824	102	31296
398	603	268.602	423.776	0	2.79139	91.1066	3.55812e-11	0.145618	2.22042e-08	90.961	0.000419824	102	31140
399	399	134.117	402.738	0	3.06439	120.537	9.26762e-09	0.485136	2.29112e-06	120.052	0.000419824	102	25548
400	400	175.386	221.098	0	2.7875	90.7265	3.29149e-11	0.143176	2.08038e-08	90.5833	0.000419824	102	31218
401	647	120.889	416.409	0	3.09066	123.663	1.03533e-08	0.499141	2.5522e-06	123.164	0.000419824	102	25458
402	402	321.217	216.775	0	3.42927	168.925	3.14854e-06	1.72882	0.000304199	167.196	0.000419824	102	19728
403	403	288.628	413.471	0	2.7887	90.8433	3.37133e-11	0.143923	2.1225e-08	90.6993	0.000419824	102	31194
404	404	295.157	157.945	0	2.78571	90.5516	3.17526e-11	0.142063	2.01877e-08	90.4095	0.000419824	102	31254
405	1088	280.432	401.355	0	3.43339	169.535	3.42258e-06	1.76015	0.000325914	167.774	0.000419824	102	19644
406	1141	212.488	308.495	0	3.81991	233.479	0.000983005	6.03487	0.0370053	227.406	0.000419824	102	13962
407	588	309.381	433.669	0	2.78959	90.931	3.43248e-11	0.144486	2.15465e-08	90.7865	0.000419824	102	31176
408	1017	266.314	407.373	0	3.4255	168.369	2.96567e-06	1.70648	0.000289356	166.662	0.000419824	102	19788
409	1130	325.225	273.954	0	4.32692	339.333	0.353814	21.8476	5.04904	312.083	0.000419824	102	8028
410	410	368.741	174.911	0	2.79049	91.0187	3.49474e-11	0.145051	2.18729e-08	90.8737	0.000419824	102	31158
411	411	282.057	412.235	0	2.7881	90.7848	3.33117e-11	0.143549	2.10134e-08	90.6413	0.000419824	102	31206
412	741	333.265	400.828	0	2.72716	84.9612	3.07461e-11	0.137756	1.89134e-08	84.8235	0.000419824	102	31218
413	710	333.109	235.109	0	2.7797	89.9668	3.05773e-11	0.140752	1.94949e-08	89.8261	0.000419824	102	31290
414	930	211.18	235.983	0	3.09324	123.973	1.09901e-08	0.505591	2.68121e-06	123.468	0.000419824	102	25398
415	578	341.727	267.889	0	2.79109	91.0773	3.53687e-11	0.145429	2.20932e-08	90.9319	0.000419824	102	31146
416	416	256.572	215.475	0	2.79438	91.4001	3.77784e-11	0.147525	2.33452e-08	91.2526	0.000419824	102	31080
417	417	386.319	421.823	0	2.79438	91.3993	3.77783e-11	0.147525	2.3345e-08	91.2518	0.000419824	102	31080
418	418	376.532	182.611	0	3.4255	168.369	2.96567e-06	1.70648	0.000289356	166.662	0.000419824	102	19788
419	419	268.362	418.618	0	2.7875	90.7265	3.29149e-11	0.143176	2.08038e-08	90.5833	0.000419824	102	31218
420	905	150.707	342.284	0	3.42776	168.702	3.07408e-06	1.71985	0.000298173	166.982	0.000419824	102	19752
